Magadino-Cadenazzo
Messstation Nr.:  11
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 03 04 10     34.00      1.00
2022 01 03 04 20    119.00      1.20
2022 01 03 04 30     66.00      0.80
2022 01 03 04 40     68.00      0.40
2022 01 03 04 50    193.00      0.10
2022 01 03 05 00    350.00      0.70
2022 01 03 05 10    182.00      0.20
2022 01 03 05 20    135.00      0.20
2022 01 03 05 30    307.00      0.20
2022 01 03 05 40     65.00      0.80
2022 01 03 05 50    111.00      0.60
2022 01 03 06 00    149.00      0.80
2022 01 03 06 10     43.00      0.90
2022 01 03 06 20     91.00      0.70
2022 01 03 06 30    119.00      1.10
2022 01 03 06 40     57.00      1.10
2022 01 03 06 50    229.00      0.50
2022 01 03 07 00    254.00      0.40
2022 01 03 07 10    298.00      0.40
2022 01 03 07 20     28.00      0.30
2022 01 03 07 30    102.00      0.40
2022 01 03 07 40    258.00      0.40
2022 01 03 07 50     23.00      0.40
2022 01 03 08 00     74.00      0.90
2022 01 03 08 10     84.00      2.40
2022 01 03 08 20    149.00      0.40
2022 01 03 08 30     99.00      0.60
2022 01 03 08 40     53.00      1.00
2022 01 03 08 50     91.00      0.50
2022 01 03 09 00     99.00      1.00
2022 01 03 09 10     87.00      1.70
2022 01 03 09 20     78.00      0.90
2022 01 03 09 30    124.00      1.00
2022 01 03 09 40     91.00      0.50
2022 01 03 09 50     56.00      1.90
2022 01 03 10 00    153.00      0.40
2022 01 03 10 10     61.00      0.10
2022 01 03 10 20    315.00      1.10
2022 01 03 10 30    268.00      1.00
2022 01 03 10 40    242.00      1.00
2022 01 03 10 50    213.00      0.30
2022 01 03 11 00     87.00      0.50
2022 01 03 11 10     73.00      0.80
2022 01 03 11 20    229.00      0.90
2022 01 03 11 30    219.00      1.10
2022 01 03 11 40    217.00      0.40
2022 01 03 11 50    221.00      1.00
2022 01 03 12 00    187.00      0.60
2022 01 03 12 10    112.00      0.50
2022 01 03 12 20     85.00      0.40
2022 01 03 12 30    143.00      0.50
2022 01 03 12 40    184.00      0.40
2022 01 03 12 50    197.00      0.70
2022 01 03 13 00    209.00      0.70
2022 01 03 13 10    227.00      1.00
2022 01 03 13 20    243.00      0.80
2022 01 03 13 30    192.00      0.80
2022 01 03 13 40    169.00      0.60
2022 01 03 13 50    214.00      0.20
2022 01 03 14 00    276.00      0.50
2022 01 03 14 10     73.00      0.30
2022 01 03 14 20    149.00      0.50
2022 01 03 14 30    174.00      1.30
2022 01 03 14 40    207.00      1.20
2022 01 03 14 50    241.00      1.40
2022 01 03 15 00    207.00      1.30
2022 01 03 15 10    248.00      1.00
2022 01 03 15 20    251.00      1.40
2022 01 03 15 30    258.00      1.60
2022 01 03 15 40    247.00      1.00
2022 01 03 15 50    233.00      0.70
2022 01 03 16 00    233.00      0.80
2022 01 03 16 10    131.00      0.30
2022 01 03 16 20     73.00      1.40
2022 01 03 16 30    111.00      0.80
2022 01 03 16 40    111.00      0.80
2022 01 03 16 50     10.00      0.80
2022 01 03 17 00    180.00      0.70
2022 01 03 17 10    223.00      0.30
2022 01 03 17 20    346.00      0.60
2022 01 03 17 30    175.00      0.40
2022 01 03 17 40    122.00      0.30
2022 01 03 17 50     86.00      0.60
2022 01 03 18 00     81.00      1.00
2022 01 03 18 10     87.00      1.00
2022 01 03 18 20    120.00      1.70
2022 01 03 18 30     72.00      0.40
2022 01 03 18 40    354.00      0.70
2022 01 03 18 50    154.00      0.50
2022 01 03 19 00     37.00      1.30
2022 01 03 19 10    107.00      1.20
2022 01 03 19 20    112.00      0.50
2022 01 03 19 30     19.00      1.40
2022 01 03 19 40    140.00      0.50
2022 01 03 19 50     50.00      0.60
2022 01 03 20 00     94.00      0.60
2022 01 03 20 10    110.00      0.70
2022 01 03 20 20    312.00      0.40
2022 01 03 20 30    207.00      0.80
2022 01 03 20 40    360.00      1.80
2022 01 03 20 50     18.00      0.50
2022 01 03 21 00    156.00      0.50
2022 01 03 21 10    141.00      1.10
2022 01 03 21 20      7.00      1.50
2022 01 03 21 30      3.00      0.20
2022 01 03 21 40    202.00      0.40
2022 01 03 21 50    168.00      1.00
2022 01 03 22 00    125.00      0.80
2022 01 03 22 10     20.00      0.90
2022 01 03 22 20      7.00      0.70
2022 01 03 22 30    271.00      0.20
2022 01 03 22 40    160.00      0.70
2022 01 03 22 50    103.00      0.60
2022 01 03 23 00     33.00      0.90
2022 01 03 23 10      5.00      0.20
2022 01 03 23 20      8.00      0.80
2022 01 03 23 30    319.00      0.70
2022 01 03 23 40    309.00      0.40
2022 01 03 23 50     12.00      0.70
2022 01 03 24 00    152.00      1.10
2022 01 04 00 10    116.00      0.50
2022 01 04 00 20      0.00      0.00
2022 01 04 00 30    190.00      0.20
2022 01 04 00 40    262.00      0.40
2022 01 04 00 50    286.00      0.40
2022 01 04 01 00    218.00      0.30
2022 01 04 01 10    193.00      0.10
2022 01 04 01 20    163.00      0.30
2022 01 04 01 30     76.00      0.70
2022 01 04 01 40     71.00      0.40
2022 01 04 01 50     77.00      0.10
2022 01 04 02 00    226.00      1.00
2022 01 04 02 10      7.00      0.10
2022 01 04 02 20     45.00      0.20
2022 01 04 02 30     14.00      1.30
2022 01 04 02 40     37.00      0.30
2022 01 04 02 50    126.00      0.80
2022 01 04 03 00    103.00      0.90
2022 01 04 03 10     59.00      0.90
2022 01 04 03 20     89.00      0.60
2022 01 04 03 30    141.00      1.20
2022 01 04 03 40     67.00      0.60
2022 01 04 03 50     84.00      0.60
2022 01 04 04 00     41.00      0.80
2022 01 04 04 10    153.00      0.50
2022 01 04 04 20    103.00      0.20
2022 01 04 04 30     50.00      0.20
2022 01 04 04 40    109.00      0.20
2022 01 04 04 50    180.00      0.20
2022 01 04 05 00    178.00      0.30
2022 01 04 05 10    116.00      0.60
2022 01 04 05 20     74.00      0.70
2022 01 04 05 30     98.00      0.60
2022 01 04 05 40     67.00      0.20
2022 01 04 05 50     58.00      0.50
2022 01 04 06 00    102.00      0.70
2022 01 04 06 10     89.00      1.60
2022 01 04 06 20    105.00      1.50
2022 01 04 06 30     52.00      0.70
2022 01 04 06 40    345.00      1.00
2022 01 04 06 50    268.00      0.60
2022 01 04 07 00    232.00      1.50
2022 01 04 07 10    264.00      0.50
2022 01 04 07 20    278.00      0.60
2022 01 04 07 30    313.00      0.60
2022 01 04 07 40    186.00      0.50
2022 01 04 07 50    109.00      0.40
2022 01 04 08 00    164.00      0.50
2022 01 04 08 10      0.00      0.00
2022 01 04 08 20    206.00      0.40
2022 01 04 08 30    222.00      0.50
2022 01 04 08 40    206.00      0.30
2022 01 04 08 50    206.00      0.20
2022 01 04 09 00      0.00      0.00
2022 01 04 09 10    252.00      0.70
2022 01 04 09 20    228.00      1.20
2022 01 04 09 30    277.00      0.80
2022 01 04 09 40    305.00      0.70
2022 01 04 09 50    209.00      0.40
2022 01 04 10 00    191.00      0.50
