Lausanne-César-Roux
Messstation Nr.:   9
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 03 00 20    298.77      1.09
2022 01 03 00 30    299.59      1.09
2022 01 03 00 40    312.10      0.91
2022 01 03 00 50    312.58      0.84
2022 01 03 01 00    301.73      0.75
2022 01 03 01 10    283.46      1.47
2022 01 03 01 20    294.96      1.89
2022 01 03 01 30    287.42      1.74
2022 01 03 01 40    292.93      1.99
2022 01 03 01 50    286.98      1.20
2022 01 03 02 00    295.61      1.53
2022 01 03 02 10    294.34      1.67
2022 01 03 02 20    300.02      1.90
2022 01 03 02 30    288.25      1.94
2022 01 03 02 40    287.92      2.30
2022 01 03 02 50    278.43      1.41
2022 01 03 03 00    265.31      1.19
2022 01 03 03 10    283.28      1.07
2022 01 03 03 20    279.17      0.65
2022 01 03 03 30      1.56      0.37
2022 01 03 03 40    312.69      1.23
2022 01 03 03 50    298.00      1.22
2022 01 03 04 00    319.78      1.17
2022 01 03 04 10    274.53      1.04
2022 01 03 04 20    287.63      1.23
2022 01 03 04 30    281.38      1.17
2022 01 03 04 40    278.66      0.95
2022 01 03 04 50    332.48      0.48
2022 01 03 05 00    310.40      0.78
2022 01 03 05 10    285.83      0.64
2022 01 03 05 20    313.97      0.96
2022 01 03 05 30    315.30      1.09
2022 01 03 05 40    304.77      1.50
2022 01 03 05 50    284.94      1.40
2022 01 03 06 00    286.93      1.00
2022 01 03 06 10    303.93      1.25
2022 01 03 06 20    313.29      0.81
2022 01 03 06 30    278.76      1.06
2022 01 03 06 40    262.75      1.41
2022 01 03 06 50    276.45      1.36
2022 01 03 07 00    277.02      1.08
2022 01 03 07 10    275.05      1.00
2022 01 03 07 20    297.10      0.85
2022 01 03 07 30    310.14      0.70
2022 01 03 07 40    311.93      0.78
2022 01 03 07 50    322.37      0.94
2022 01 03 08 00    327.54      0.91
2022 01 03 08 10    318.59      1.02
2022 01 03 08 20    326.23      0.87
2022 01 03 08 30    318.41      0.77
2022 01 03 08 40    298.02      0.85
2022 01 03 08 50    295.50      0.68
2022 01 03 09 00    303.02      0.97
2022 01 03 09 10    312.74      1.09
2022 01 03 09 20    302.80      1.07
2022 01 03 09 30    298.87      1.15
2022 01 03 09 40    297.33      1.10
2022 01 03 09 50    285.04      0.78
2022 01 03 10 00    279.21      0.93
2022 01 03 10 10    257.62      1.03
2022 01 03 10 20    290.88      1.56
2022 01 03 10 30    287.18      1.22
2022 01 03 10 40    301.16      0.98
2022 01 03 10 50    264.97      1.00
2022 01 03 11 00    270.84      1.54
2022 01 03 11 10    270.95      1.38
2022 01 03 11 20    247.68      0.78
2022 01 03 11 30    277.73      1.85
2022 01 03 11 40    290.54      1.94
2022 01 03 11 50    278.34      1.44
2022 01 03 12 00    295.09      1.29
2022 01 03 12 10    307.53      1.00
2022 01 03 12 20    287.33      1.79
2022 01 03 12 30    288.17      2.13
2022 01 03 12 40    272.93      1.99
2022 01 03 12 50    278.53      1.86
2022 01 03 13 00    278.99      1.51
2022 01 03 13 10    281.31      2.39
2022 01 03 13 20    274.98      2.55
2022 01 03 13 30    285.31      2.63
2022 01 03 13 40    274.30      2.66
2022 01 03 13 50    273.35      2.89
2022 01 03 14 00    274.24      2.82
2022 01 03 14 10    235.34      1.20
2022 01 03 14 20    221.74      1.40
2022 01 03 14 30    231.19      0.78
2022 01 03 14 40    240.09      0.76
2022 01 03 14 50    275.17      0.84
2022 01 03 15 00    300.93      1.17
2022 01 03 15 10    263.49      1.08
2022 01 03 15 20    282.04      1.48
2022 01 03 15 30    288.07      1.21
2022 01 03 15 40    275.20      1.47
2022 01 03 15 50    269.03      1.60
2022 01 03 16 00    271.58      1.40
2022 01 03 16 10    279.90      1.75
2022 01 03 16 20    273.60      1.05
2022 01 03 16 30    125.70      0.87
2022 01 03 16 40    120.40      1.68
2022 01 03 16 50    108.43      1.58
2022 01 03 17 00     98.61      0.86
2022 01 03 17 10     98.11      1.17
2022 01 03 17 20    293.77      1.05
2022 01 03 17 30    258.18      1.21
2022 01 03 17 40    283.32      1.14
2022 01 03 17 50    231.87      0.98
2022 01 03 18 00    208.55      0.82
2022 01 03 18 10    213.75      0.40
2022 01 03 18 20    123.89      0.61
2022 01 03 18 30    120.63      0.97
2022 01 03 18 40    128.42      0.71
2022 01 03 18 50    114.81      0.78
2022 01 03 19 00    140.29      0.80
2022 01 03 19 10    238.17      1.01
2022 01 03 19 20    288.68      0.75
2022 01 03 19 30    274.66      1.48
2022 01 03 19 40    277.48      1.59
2022 01 03 19 50    276.56      1.76
2022 01 03 20 00    276.05      2.04
2022 01 03 20 10    267.66      1.19
2022 01 03 20 20    280.18      2.08
2022 01 03 20 30    281.83      2.21
2022 01 03 20 40    317.05      0.46
2022 01 03 20 50    331.19      0.68
2022 01 03 21 00    308.10      0.40
2022 01 03 21 10    297.26      0.81
2022 01 03 21 20    284.62      1.55
2022 01 03 21 30    278.99      1.33
2022 01 03 21 40    288.85      1.06
2022 01 03 21 50    285.09      1.49
2022 01 03 22 00    281.74      1.62
2022 01 03 22 10    273.40      1.42
2022 01 03 22 20    249.10      1.12
2022 01 03 22 30    256.38      1.64
2022 01 03 22 40    249.41      1.19
2022 01 03 22 50    267.74      1.12
2022 01 03 23 00    276.01      1.92
2022 01 03 23 10    272.24      2.38
2022 01 03 23 20    276.40      2.60
2022 01 03 23 30    279.37      1.53
2022 01 03 23 40    266.03      1.01
2022 01 03 23 50    262.53      0.91
2022 01 03 24 00    275.07      1.51
2022 01 04 00 10    275.62      1.77
2022 01 04 00 20    272.64      2.37
2022 01 04 00 30    273.99      2.13
2022 01 04 00 40    270.64      2.74
2022 01 04 00 50    277.46      3.05
2022 01 04 01 00    278.46      3.17
2022 01 04 01 10    283.54      2.32
2022 01 04 01 20    273.02      2.45
2022 01 04 01 30    277.36      2.82
2022 01 04 01 40    278.56      2.84
2022 01 04 01 50    273.39      2.00
2022 01 04 02 00    279.05      2.70
2022 01 04 02 10    276.91      3.54
2022 01 04 02 20    274.11      3.31
2022 01 04 02 30    272.21      3.68
2022 01 04 02 40    278.21      2.91
2022 01 04 02 50    283.52      3.62
2022 01 04 03 00    276.63      3.90
